Product & Geography Sales Metrics (CCL Supplier),,,,
Time:Week Ending 11-01-23,,,,
CCL Supplier:All CCL Suppliers,,,,
CCL Brand:All CCL Brands,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0013,Goya Malt Beverage 6Pk 2130 Ml,00004133108822,395.56,66
0013,Canaddry Gingerale Diet 4260 Ml,00006210001894,219.78,33
0013,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,203.82,27
0006,7Up Soft Drink Diet 1332 Ml,00006540001808,199.8,30
0013,Comp Soft Drink Cola 1332 Ml,00005574255844,167.86,21
0013,7Up Soft Drink Diet 1332 Ml,00006540001808,159.84,24
0006,Grizzlypaw Ginger Beer 1420 Ml,00018244001198,139.9,15
0006,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,115.9,15
0006,Pepsi Multipack 4260 Ml,00006900001984,113.94,9
0013,1642Toni Bev Sparkling Light 750 Ml,00062805581936,111.86,21
0013,Mountain Dew Diet 591 Ml,00006900006058,103.92,12
0013,Sprkmouth Sprklng Wtr Grpfrt 355 Ml,00081827801346,95.88,18
0006,Cocacola Diet 2000 Ml,00006700001897,87.92,12
0006,Big8 Soft Drink Pineapple 355 Ml,00006448010529,83.94,9
0006,Sumol Drink Passionfruit 330 Ml,00068297801133,83.94,9
0013,Grizzlypaw Ginger Beer 1420 Ml,00018244001198,83.94,9
0006,Cocacola Clss Mini Sleek Can 1332 Ml,00006700011983,80.94,9
0013,Cocacola Clss Mini Sleek Can 1332 Ml,00006700011983,80.94,9
0013,Annex Root Beer 355 Ml,00062850433304,80.94,9
0006,Guarana Beverage Antarcclssc 350 Ml,00789199102390,79.9,15
0006,Stewarts Soda Cream 355 Ml,00009879401037,79.9,15
0006,1642Toni Bev Sparkling Light 750 Ml,00062805581936,79.9,15
0013,Panache Prem Soda Tonic Water 800 Ml,00062368213401,78.32,12
0013,Cocacola Zero Sugar Move 300 Ml,00006700001017,77.94,9
0013,Jonesoda Pineapple Cream Soda 355 Ml,00062022121013,77.94,9
0013,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
0013,Pepsi Zero Sugar 1332 Ml,00006900015936,71.94,9
0006,Canaddry Ginger Ale Zero Sugar 355 Ml,00006210001018,63.92,12
0006,Mountdew Ice 591 Ml,00006900001827,63.92,12
0006,Sprkmouth Sprklng Wtr Grpfrt 355 Ml,00081827801346,63.92,12
0006,Canaddry Gingerale Diet 4260 Ml,00006210001894,59.94,9
0006,Crush Soda Pineapple 2L 2000 Ml,00005600001347,55.96,6
0013,Big8 Soft Drink Pineapple 355 Ml,00006448010529,55.96,6
0013,Philips Soda Cola All Natural 355 Ml,00081827801902,55.96,6
0013,Teja Soda Masala 250 Ml,00006033511384,55.96,6
0006,A&W Rootbeer 355Ml 355 Ml,00005953101002,51.96,6
0006,Sprite 250 Ml,00006700001921,51.96,6
0006,Goya Malt Beverage 6Pk 2130 Ml,00004133108822,51.96,6
0013,A&W Rootbeer 355Ml 355 Ml,00005953101002,51.96,6
0013,Pepsi Diet Pl 24X355Ml 355 Ml,00006900002124,51.96,6
0006,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,47.96,6
0006,Comp Soft Drink Cola 1332 Ml,00005574255844,47.96,6
0013,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,47.96,6
0006,Jarritos Soft Drink Hibiscus 370 Ml,00009047801264,47.94,9
0006,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,45.98,3
0013,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,45.98,3
0006,Jarritos Grapefruit Soft Drink 370 Ml,00009047842007,44.94,9
0006,Minhascr Soda Black Cherry 330 Ml,00008526841479,43.96,6
0006,Grizzlypaw Black Cherry Cola 1420 Ml,00018244001196,39.96,6
0013,Brio Chinotto Can 355 Ml,00005995751630,39.96,6
0013,Fentiman Connoisseur Tonic 800 Ml,00502939601225,39.96,6
0006,Dads Root Beer 4 Ea,00083362701040,39.16,6
0013,Fentimans Ginger Beer 800 Ml,00502939601222,39.16,6
0006,Rieme Pink Lemonade Crackling 330 Ml,00085123101020,31.96,6
0013,Canaddry Ginger Ale Zero Sugar 355 Ml,00006210001018,31.96,6
0013,Stewarts Soda Cream 355 Ml,00009879401037,31.96,6
0013,Mountdew Ice 591 Ml,00006900001827,31.96,6
