Week End Date,Major Department Name,UPC,Product Name,Store Number,Store Name,Address,City,Province,Postal Code,Dollar Sales,Unit Sales,Promotion Type Code,Promotion Type Name
2025-01-22,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,655001,Store 655001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-22,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1693001,Store 1693001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-29,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,655010,Store 655010,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-04,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2438052,Store 2438052,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-04,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2749001,Store 2749001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-04,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,883001,Store 883001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-04,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,655010,Store 655010,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-04,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1709041,Store 1709041,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2024-01-03,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,16001,Store 16001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-11,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2438052,Store 2438052,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-11,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,655010,Store 655010,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-11,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1709041,Store 1709041,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2023-01-11,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,655001,Store 655001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2024-01-10,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2749001,Store 2749001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2024-01-10,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2813001,Store 2813001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-08,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1693001,Store 1693001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-08,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,2950002,Store 2950002,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-08,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1972023,Store 1972023,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
2025-01-08,GROCERY,00006540001160,7Up Zero 355Ml 12Pk 4260 Ml,1972001,Store 1972001,Unknown,Unknown,SK,Unknown,39.98,3,1,Regular
