Promo Year,Promo Year Week,Week End Date,Article/UPC Description,UPC,Site Number,Sales,Units,Promo Sales,Promo Units
2025,202501,2025-01-01,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7295,$75.92,12,$0.00,0
2025,202501,2025-01-01,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,8180,$151.84,24,$0.00,0
2025,202501,2025-01-01,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,8495,$37.96,6,$0.00,0
2025,202501,2025-01-01,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,8704,$18.00,3,$0.00,0
2025,202501,2025-01-01,Schweppe Ginger Ale 355 Ml,00001660001121,7195,$21.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,46,$21.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,48,$43.96,6,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,55,$21.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,67,$65.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,78,$21.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,86,$65.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,199,$131.88,18,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,300,$65.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,512,$71.92,12,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,526,$43.96,6,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,543,$23.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,551,$89.90,15,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,560,$95.92,12,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,878,$71.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1007,$71.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1009,$161.82,27,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1012,$17.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1014,$71.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1017,$17.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1018,$53.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1030,$71.92,12,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1033,$143.84,24,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1058,$125.86,21,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1071,$125.86,21,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1077,$17.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1080,$17.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1091,$143.84,24,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1436,$65.94,9,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,1495,$87.92,12,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2265,$21.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2268,$109.90,15,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2806,$17.98,3,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2809,$107.88,18,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2811,$71.92,12,$0.00,0
2025,202501,2025-01-01,Big8 Tonic Water 2000 Ml,00006448001142,2812,$89.90,15,$0.00,0
