Week End Date,Store No,Product,Dollar Sales,Unit Sales,UPC ID,Geography
11/16/2022,666,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 666
12/21/2022,712,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 712
12/21/2022,660,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 660
10/26/2022,538,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 538
10/5/2022,538,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 538
12/28/2022,685,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 685
12/28/2022,556,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 556
12/28/2022,534,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 534
12/28/2022,386,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 386
12/28/2022,358,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 358
12/28/2022,342,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 342
9/28/2022,538,Calypso Southern Peach Lmnd 473 Ml,28,12,00007958119403,Store 538
10/19/2022,712,Cocacola Classic 355 Ml,28,12,00006700011483,Store 712
12/21/2022,655,Cocacola Classic 355 Ml,28,12,00006700011483,Store 655
12/21/2022,542,Cocacola Classic 355 Ml,28,12,00006700011483,Store 542
12/21/2022,386,Cocacola Classic 355 Ml,28,12,00006700011483,Store 386
12/21/2022,380,Cocacola Classic 355 Ml,28,12,00006700011483,Store 380
10/26/2022,677,Cocacola Classic 355 Ml,28,12,00006700011483,Store 677
10/5/2022,538,Cocacola Classic 355 Ml,28,12,00006700011483,Store 538
12/28/2022,853,Cocacola Classic 355 Ml,28,12,00006700011483,Store 853
12/28/2022,677,Cocacola Classic 355 Ml,28,12,00006700011483,Store 677
12/28/2022,674,Cocacola Classic 355 Ml,28,12,00006700011483,Store 674
12/28/2022,666,Cocacola Classic 355 Ml,28,12,00006700011483,Store 666
9/28/2022,666,Cocacola Classic 355 Ml,28,12,00006700011483,Store 666
12/14/2022,675,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 675
11/16/2022,675,Barrs Drink Irn Bru 1980 Ml,28,12,00500038212068,Store 675
10/19/2022,666,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 666
12/21/2022,485,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 485
11/2/2022,538,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 538
12/28/2022,586,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 586
12/28/2022,487,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 487
12/28/2022,485,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 485
12/28/2022,353,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 353
12/28/2022,342,Grace Soda Pineapple 355 Ml,28,12,00005527085229,Store 342
12/21/2022,712,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 712
12/21/2022,659,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 659
12/21/2022,378,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 378
12/21/2022,365,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 365
12/21/2022,353,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 353
12/21/2022,346,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 346
12/28/2022,859,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 859
12/28/2022,629,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 629
12/28/2022,346,Comp Soft Drink Choose Up 355 Ml,28,12,00005574234576,Store 346
10/12/2022,712,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 712
12/21/2022,766,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 766
12/21/2022,485,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 485
12/21/2022,402,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 402
11/2/2022,537,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 537
12/28/2022,853,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 853
12/28/2022,566,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 566
12/28/2022,485,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 485
12/28/2022,408,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 408
12/28/2022,349,Jones Soda Green Apple 355Ml 355 Ml,28,12,00062022121012,Store 349
10/12/2022,677,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 677
12/14/2022,666,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 666
12/21/2022,685,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 685
12/21/2022,559,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 559
12/28/2022,691,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 691
12/28/2022,677,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 677
12/28/2022,378,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,28,12,00006700011665,Store 378
