Product & Geography Sales Metrics (Gold),,,,
Time:Week Ending 01-10-24,,,,
Province:All Provinces,,,,
Supplier:All Supplier,,,,
Brand:All Brands,,,,
SOF Same Store:All Stores,,,,
e_Commerce:All Sales,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0512,Pepsi Zero Sugar 355 Ml,00006900016900,22.48,3
0512,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,58.76,6
0512,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,29.98,3
0517,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,58.76,6
0517,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,21.96,3
0517,Cocacola Diet 2000 Ml,00006700001897,21.96,3
0517,Cocacola Zero 500 Ml,00006700001463,87.78,33
0517,Marble Pop Blueberry 200 Ml,00007441078814,7.98,3
0517,Pepsi 1000 Ml,00006900001982,7.98,3
0502,7Up Soft Drink Diet 1332 Ml,00006540001808,53.96,6
0502,Pepsi Multipack 4260 Ml,00006900001984,116.94,9
0502,Pepsi Zero Sugar 355 Ml,00006900016900,24.98,3
0502,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,58.76,6
0502,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,21.96,3
0502,Fanta Soda Pop Orange 1332 Ml,00006700002153,51.56,6
0502,Canaddry Gingerale Diet 4260 Ml,00006210001894,55.96,6
0516,Pepsi Zero Sugar 1332 Ml,00006900015936,19.98,3
0516,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,101.32,12
0516,Cocacola Diet Caff/Free Can 355 Ml,00006700001929,24.98,3
0516,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,58.76,6
0516,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,20.78,3
0516,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,43.92,6
0516,Cocacola Diet 2000 Ml,00006700001897,43.92,6
0516,Fanta Soda Pop Orange 1332 Ml,00006700002153,25.78,3
0516,Pepsi 1000 Ml,00006900001982,7.98,3
0513,Pepsi Multipack 4260 Ml,00006900001984,155.92,12
0513,Fanta Soda Pop Orange 1332 Ml,00006700002153,128.9,15
0513,Canaddry Gingerale Diet 4260 Ml,00006210001894,55.96,6
0509,Pepsi Zero Sugar 355 Ml,00006900016900,24.98,3
0504,Pepsi Multipack 4260 Ml,00006900001984,38.98,3
0504,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,79.96,6
0504,Canaddry Gingerale Diet 4260 Ml,00006210001894,27.98,3
0505,Pepsi Multipack 4260 Ml,00006900001984,38.98,3
0505,Canaddry Gingerale Diet 4260 Ml,00006210001894,81.14,9
0501,Pepsi Multipack 4260 Ml,00006900001984,38.98,3
0501,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,21.96,3
0506,A&W Rootbeer 355Ml 355 Ml,00005953101002,27.98,3
0506,Cocacola Zero Sugar Zero Caff 355 Ml,00006700002116,24.98,3
0506,Cocacola Diet Caff/Free Can 355 Ml,00006700001929,24.98,3
0506,Pepsi Multipack 4260 Ml,00006900001984,155.92,12
0506,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,117.52,12
0506,Cocacola Diet 2000 Ml,00006700001897,43.92,6
0506,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,119.94,9
0506,Canaddry Gingerale Diet 4260 Ml,00006210001894,55.96,6
0507,Pepsi Multipack 4260 Ml,00006900001984,38.98,3
0507,Fanta Soda Pop Orange 1332 Ml,00006700002153,25.78,3
0515,Pepsi Zero Sugar 355 Ml,00006900016900,24.98,3
0515,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,29.38,3
0503,Fevertre Tonic Water Light 800 Ml,00506010846023,21.98,3
0503,7Up Soft Drink Diet 1332 Ml,00006540001808,26.98,3
0503,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,88.14,9
0503,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,62.34,9
0503,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,43.92,6
0503,Cocacola Diet 2000 Ml,00006700001897,21.96,3
0503,Fanta Soda Pop Orange 1332 Ml,00006700002153,25.78,3
0503,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,39.98,3
0518,Canaddry Gingerale 1332 Ml,00006210001144,27.98,3
0518,Fevertre Tonic Water Light 800 Ml,00506010846023,21.98,3
0518,Pepsi Multipack 4260 Ml,00006900001984,77.96,6
0518,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,88.14,9
0518,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,39.98,3
0518,Canaddry Gingerale Diet 4260 Ml,00006210001894,109.12,12
0511,Sprite Zero 355 Ml,00006700001461,4.98,3
0511,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,25.98,3
4703,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
4703,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,57.96,6
4703,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.78,3
4703,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,19.38,3
4703,Comp Soft Drink Cola 1332 Ml,00005574255844,85.14,9
4703,Canaddry Gingerale Diet 4260 Ml,00006210001894,548.22,87
4703,Cocacola Zero 500 Ml,00006700001463,36,18
4703,Marble Pop Blueberry 200 Ml,00007441078814,6,3
4703,Pepsi 1000 Ml,00006900001982,6,3
4716,A&W Rootbeer 355Ml 355 Ml,00005953101002,25.98,3
4716,Pepsi Multipack 4260 Ml,00006900001984,113.94,9
4716,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,57.96,6
4716,Cocacola Diet 2000 Ml,00006700001897,38.76,6
4716,Comp Soft Drink Cola 1332 Ml,00005574255844,59.96,6
4716,Canaddry Gingerale Diet 4260 Ml,00006210001894,40.56,6
4716,Cocacola Zero 500 Ml,00006700001463,24,12
4716,Marble Pop Blueberry 200 Ml,00007441078814,18,9
4716,Pepsi 1000 Ml,00006900001982,12,6
4708,A&W Rootbeer 355Ml 355 Ml,00005953101002,25.98,3
4708,7Up Soft Drink Diet 1332 Ml,00006540001808,69.14,9
4708,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
4708,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,193.8,30
4708,Cocacola Diet 2000 Ml,00006700001897,116.28,18
