Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 110624,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 1,Canaddry Gingerale 1332 Ml,00006210001144,155.88,18
Store 1,Pepsi 1332 Ml,00006900015902,103.92,12
Store 1,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,181.86,21
Store 1,7Up Soft Drink Diet 1332 Ml,00006540001808,399.68,48
Store 1,Calypso Southern Peach Lmnd 473 Ml,00007958119403,15.96,6
Store 1,Pepsi Multipack 4260 Ml,00006900001984,265.86,21
Store 1,Canaddry Gingerale 355 Ml,00006210001893,159.2,120
Store 1,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,540.48,78
Store 1,Pepsi Throwback 355 Ml,00006900002088,43.74,9
Store 1,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,434.7,45
Store 1,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,719.7,45
Store 1,Big8 Soda Orange 355 Ml,00006448001802,263.12,132
Store 1,Stewarts Soda Key Lime 355 Ml,00009879401045,39.96,6
Store 1,Newlevl Crft Soda Painappl Pnc 473 Ml,00062825008855,59.94,9
Store 1,Gosling Ginger Beer 355 Ml,00072109420974,19.98,3
Store 1,Comp Soft Drink Cola 1332 Ml,00005574255844,419.72,42
Store 1,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,269.82,27
Store 1,Cocacola Classic 8520 Ml,00006700002011,335.84,24
Store 1,Canaddry Gingerale Diet 4260 Ml,00006210001894,79.92,12
Store 1,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,265.72,42
Store 1,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,341.64,54
Store 1,Dads Root Beer 4 Ea,00083362701040,341.64,54
Store 1,Brio Chinotto Can 355 Ml,00005995751630,82.32,12
Store 1,Fentiman Connoisseur Tonic 800 Ml,00502939601225,41.16,6
Store 1,Marble Pop Blueberry 200 Ml,00007441078814,76.56,36
Store 1,7Up 2L 2000 Ml,00006540001073,12.76,6
Store 2,7Up Soft Drink Diet 1332 Ml,00006540001808,81.54,9
Store 2,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.42,3
Store 2,Canaddry Gingerale 355 Ml,00006210001893,50.4,36
Store 2,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,93.48,12
Store 2,Pepsi Throwback 355 Ml,00006900002088,13.18,3
Store 2,Mountain Dew Diet 591 Ml,00006900006058,22.86,3
Store 2,Comp Soft Drink Cola 1332 Ml,00005574255844,28.32,3
Store 2,Cocacola Classic 8520 Ml,00006700002011,93.56,6
Store 2,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,19.2,3
Store 2,Fentimans Ginger Beer 800 Ml,00502939601222,115.2,18
Store 3,Canaddry Club Soda 355Ml 355 Ml,00006210001243,92.34,9
Store 3,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,176.26,21
Store 3,Sprite Mini Sleek Can 1332 Ml,00006700011986,298.98,33
Store 3,Barrs Drink Irn Bru 1980 Ml,00500038212068,43.2,18
Store 3,Schweppe Tonic Water 1332 Ml,00001660001012,81.54,9
Store 3,Sprite Zero 500 Ml,00006700001888,21.6,9
Store 3,Schweppe Ginger Ale 1332 Ml,00001660001010,54.36,6
Store 3,Jones Soda Green Apple 355Ml 355 Ml,00062022121012,8.18,3
Store 3,Cocacola Zero Frdg/Mt 12X355Ml 355 Ml,00006700011665,16.36,6
Store 3,Comp Soft Drink Choose Up 355 Ml,00005574234576,16.36,6
Store 3,Pepsi Multipack 4260 Ml,00006900001984,471.8,30
Store 3,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,81.54,9
Store 3,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,1369.94,159
Store 3,Pepsi Throwback 355 Ml,00006900002088,183.36,36
Store 3,Comp Soft Cola Dt 355Ml 355 Ml,00005574234573,18.36,6
Store 3,Big8 Sparklng Lemonade Diet 2L 2000 Ml,00006448001160,18.36,6
Store 3,Fevertre Tonic Water Light 800 Ml,00506010846023,80.34,9
Store 3,Comp Soft Drink Cola 1332 Ml,00005574255844,639.6,60
Store 3,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,829.5,75
Store 3,Grtgentm Soda Spicy Pneapple 1500 Ml,00005578901971,24.54,9
Store 3,Pepsi 1000 Ml,00006900001982,96.9,51
Store 3,Cocacola Zero 500 Ml,00006700001463,210.9,111
Store 3,Marble Pop Blueberry 200 Ml,00007441078814,108.3,57
Store 3,7Up 2L 2000 Ml,00006540001073,108.3,57
Store 3,Pepsi 591 Ml,00006900001991,77.8,30
Store 3,Sprite 12X355Ml 355 Ml,00006700011485,23.34,9
Store 4,Canaddry Gingerale 355 Ml,00006210001893,7.96,6
Store 4,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,35.96,6
Store 4,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 4,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,23.96,6
Store 4,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 4,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.98,3
Store 5,Pepsi Multipack 4260 Ml,00006900001984,37.98,3
Store 5,Canaddry Gingerale 355 Ml,00006210001893,7.96,6
Store 5,Comp Soft Drink Cola 1332 Ml,00005574255844,21.98,3
Store 5,Pepsi 1000 Ml,00006900001982,5.98,3
Store 5,Cocacola Zero 500 Ml,00006700001463,5.98,3
Store 6,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
Store 6,Pepsi Throwback 355 Ml,00006900002088,0,3
Store 6,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 6,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,11.98,3
Store 6,Fevertre Tonic Water Light 800 Ml,00506010846023,47.92,12
Store 6,Big8 Soda Orange 355 Ml,00006448001802,21.98,3
Store 6,Fevertre Water Tonic 800 Ml,00089819501101,39.96,6
Store 6,Comp Soft Drink Cola 1332 Ml,00005574255844,43.96,6
Store 6,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,43.96,6
Store 7,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.98,3
Store 7,Canaddry Gingerale 355 Ml,00006210001893,19.9,15
Store 7,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 8,Canaddry Gingerale 355 Ml,00006210001893,23.88,18
Store 8,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,53.94,9
Store 8,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,111.92,12
Store 8,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,11.98,3
Store 8,Fevertre Water Tonic 800 Ml,00089819501101,79.92,12
Store 8,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,65.94,9
Store 8,Cocacola Classic 8520 Ml,00006700002011,137.92,12
Store 9,Canaddry Gingerale 355 Ml,00006210001893,7.88,6
Store 9,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,111.92,12
Store 9,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 9,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,35.82,9
Store 9,Fevertre Tonic Water Light 800 Ml,00506010846023,23.88,6
Store 9,Fevertre Water Tonic 800 Ml,00089819501101,19.94,3
Store 9,Comp Soft Drink Cola 1332 Ml,00005574255844,21.94,3
Store 10,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 10,Comp Soft Drink Cola 1332 Ml,00005574255844,21.94,3
Store 11,Canaddry Gingerale 355 Ml,00006210001893,7.88,6
Store 11,Pepsi Throwback 355 Ml,00006900002088,29.94,9
Store 11,Comp Soft Drink Cola 1332 Ml,00005574255844,43.88,6
Store 11,A&W Root Beer 1332 Ml,00005953101282,21.94,3
Store 11,Dads Root Beer 4 Ea,00083362701040,12.94,3
Store 12,Canaddry Gingerale 1332 Ml,00006210001144,19.94,3
Store 12,7Up Soft Drink Diet 1332 Ml,00006540001808,23.98,3
